我前妻是大明星,懒 著,连载中,60.3万,144.2万,1.3万,144.2万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
直播，这只土拨鼠居然吼我,三尺轻疯 著,连载中,36.0万,167.3万,2.4万,167.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
书名,作者,是否完本,字数,总人气,签约,总银票,图片网址
都市之战神奶爸,又菜又爱浪 著,连载中,219.9万,1810.7万,8.5万,1810.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我不是蛇神,水云邪神 著,连载中,135.9万,1102.2万,5.8万,1102.2万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
提前登陆：我有十个分身,剑起萧索 著,连载中,20.5万,43.1万,7654,43.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
开局一颗美女星球,一个萌新猫 著,连载中,15.1万,25.5万,6529,25.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我成了大学辅导员,一条咸鱼a 著,连载中,165.0万,2339.4万,12.9万,2339.4万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
女儿，我真的不是死神,虚伪的电线杆 著,连载中,54.1万,438.3万,3.6万,438.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我宅在家里成世界首富,妖怪大叔 著,连载中,111.3万,3416.9万,17.1万,3416.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
网游：全能玩家,大队长 著,连载中,72.0万,304.6万,1.9万,304.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我有一尊炼妖壶,木井 著,完本,243.0万,5515.7万,89.3万,5515.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
王母娘娘，我不想努力了,莫谷 著,连载中,45.6万,1029.5万,5.8万,1029.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我家女帝萌萌哒,古清 著,连载中,19.7万,21.0万,2068,21.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
回到大秦当太师,甜豆腐脑 著,连载中,15.2万,17.7万,3429,17.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
